N,m,\textbf{1},\textbf{2},\textbf{3},\textbf{4},\textbf{5}
50,0.1,47.6 (4.3),55.4 (3.9),61.3 (3.2),63.8 (2.9),66.0 (2.6)
100,0.1,41.3 (3.2),49.6 (3.3),54.7 (2.8),58.0 (2.6),60.6 (2.4)
150,0.1,38.5 (3.0),45.8 (2.9),50.5 (2.5),53.5 (2.5),56.3 (2.2)
200,0.1,36.5 (2.7),43.1 (2.6),47.4 (2.2),50.4 (2.3),53.1 (2.1)
250,0.1,35.5 (2.3),41.6 (2.5),45.6 (2.1),48.4 (2.1),50.9 (2.0)
300,0.1,34.4 (2.3),40.1 (2.1),43.8 (2.0),46.7 (1.9),49.1 (1.8)
50,0.2,49.8 (4.4),57.6 (3.9),63.4 (3.1),65.6 (2.8),67.7 (2.4)
100,0.2,43.8 (3.4),52.4 (3.4),57.6 (2.8),60.7 (2.6),63.3 (2.4)
150,0.2,41.3 (3.2),49.0 (3.0),53.8 (2.5),56.8 (2.6),59.6 (2.3)
200,0.2,39.4 (2.9),46.5 (2.7),51.1 (2.3),54.2 (2.4),56.9 (2.1)
250,0.2,38.5 (2.6),45.1 (2.6),49.4 (2.2),52.3 (2.1),55.0 (2.0)
300,0.2,37.3 (2.6),43.6 (2.3),47.7 (2.1),50.7 (2.0),53.2 (1.9)
50,0.3,52.0 (4.4),59.6 (3.8),65.1 (3.0),67.1 (2.7),69.0 (2.3)
100,0.3,46.6 (3.5),55.2 (3.5),60.3 (2.8),63.3 (2.5),65.8 (2.3)
150,0.3,44.5 (3.4),52.4 (3.0),57.1 (2.6),60.1 (2.6),62.9 (2.3)
200,0.3,42.8 (3.1),50.3 (2.8),54.9 (2.3),57.9 (2.4),60.7 (2.1)
250,0.3,42.0 (2.9),49.1 (2.7),53.5 (2.3),56.4 (2.2),59.1 (2.0)
300,0.3,41.0 (2.9),47.7 (2.5),52.1 (2.2),55.0 (2.1),57.6 (1.9)
50,0.4,54.0 (4.4),61.2 (3.8),66.3 (2.9),68.2 (2.6),70.0 (2.3)
100,0.4,49.5 (3.6),57.8 (3.6),62.8 (2.7),65.4 (2.5),67.8 (2.3)
150,0.4,47.7 (3.5),55.5 (3.1),60.1 (2.5),62.9 (2.6),65.6 (2.2)
200,0.4,46.4 (3.3),54.0 (2.9),58.5 (2.4),61.3 (2.3),63.9 (2.1)
250,0.4,45.8 (3.1),52.9 (2.8),57.4 (2.3),60.1 (2.2),62.7 (2.0)
300,0.4,45.0 (3.1),51.8 (2.7),56.3 (2.2),59.0 (2.2),61.6 (2.0)
50,0.5,55.6 (4.4),62.5 (3.8),67.3 (2.8),69.0 (2.6),70.7 (2.2)
100,0.5,52.1 (3.7),60.0 (3.6),64.7 (2.7),67.1 (2.5),69.3 (2.2)
150,0.5,50.7 (3.7),58.2 (3.2),62.7 (2.5),65.2 (2.5),67.6 (2.2)
200,0.5,49.7 (3.5),57.0 (3.0),61.5 (2.4),64.0 (2.3),66.4 (2.2)
250,0.5,49.3 (3.4),56.2 (2.9),60.6 (2.3),63.1 (2.2),65.5 (2.1)
300,0.5,48.8 (3.4),55.5 (2.9),59.8 (2.2),62.3 (2.2),64.8 (2.0)
50,0.6,56.9 (4.4),63.4 (3.8),68.0 (2.8),69.5 (2.5),71.2 (2.2)
100,0.6,54.3 (3.9),61.7 (3.7),66.1 (2.7),68.3 (2.4),70.4 (2.2)
150,0.6,53.2 (3.9),60.3 (3.3),64.6 (2.5),66.9 (2.5),69.2 (2.2)
200,0.6,52.5 (3.8),59.5 (3.2),63.8 (2.4),66.0 (2.3),68.3 (2.2)
250,0.6,52.2 (3.7),58.9 (3.1),63.2 (2.4),65.4 (2.3),67.7 (2.1)
300,0.6,52.0 (3.7),58.4 (3.1),62.6 (2.3),64.9 (2.2),67.1 (2.1)
50,0.7,57.8 (4.5),64.1 (3.8),68.5 (2.7),69.9 (2.5),71.5 (2.2)
100,0.7,55.9 (4.0),62.9 (3.7),67.2 (2.6),69.1 (2.4),71.1 (2.2)
150,0.7,55.2 (4.1),61.9 (3.5),66.0 (2.5),68.1 (2.4),70.2 (2.2)
200,0.7,54.7 (4.0),61.3 (3.3),65.5 (2.4),67.4 (2.3),69.6 (2.2)
250,0.7,54.6 (4.0),60.9 (3.2),65.0 (2.4),67.0 (2.3),69.2 (2.2)
300,0.7,54.5 (4.0),60.6 (3.2),64.7 (2.4),66.7 (2.2),68.9 (2.2)
50,0.8,58.5 (4.5),64.6 (3.8),68.8 (2.7),70.1 (2.5),71.7 (2.2)
100,0.8,57.2 (4.2),63.7 (3.8),67.9 (2.6),69.7 (2.4),71.5 (2.2)
150,0.8,56.6 (4.2),63.0 (3.6),67.1 (2.5),68.9 (2.3),70.9 (2.2)
200,0.8,56.3 (4.2),62.6 (3.5),66.7 (2.4),68.5 (2.3),70.5 (2.3)
250,0.8,56.3 (4.1),62.4 (3.4),66.4 (2.4),68.2 (2.3),70.2 (2.2)
300,0.8,56.3 (4.2),62.3 (3.4),66.1 (2.4),68.0 (2.2),70.0 (2.2)
50,0.9,59.0 (4.5),64.9 (3.8),69.0 (2.6), 70.2 (2.4),71.7 (2.2)
100,0.9,58.0 (4.3),64.3 (3.8),68.4 (2.6),70.0 (2.3),71.8 (2.3)
150,0.9,57.6 (4.3),63.7 (3.7),67.8 (2.5),69.4 (2.3),71.3 (2.3)
200,0.9,57.5 (4.3),63.5 (3.6),67.5 (2.5),69.1 (2.3),71.0 (2.3)
250,0.9,57.5 (4.3),63.4 (3.5),67.3 (2.4),68.9 (2.2),70.8 (2.2)
300,0.9,57.6 (4.3),63.3 (3.5),67.1 (2.4),68.8 (2.2),70.7 (2.2)
50,1,59.4 (4.5), 65.0 (3.8), 69.0 (2.6),70.1 (2.4),71.5 (2.3)
100,1,58.6 (4.4),64.6 (3.8),68.6 (2.6),70.1 (2.3), 71.8 (2.3)
150,1,58.3 (4.3),64.2 (3.8),68.2 (2.5),69.7 (2.3),71.4 (2.3)
200,1,58.3 (4.4),64.0 (3.7),68.0 (2.5),69.5 (2.3),71.2 (2.3)
250,1,58.3 (4.3),64.0 (3.6),67.8 (2.4),69.3 (2.3),71.1 (2.3)
300,1,58.5 (4.4),64.0 (3.6),67.7 (2.4),69.2 (2.2),71.0 (2.3)
50,1.1,59.6 (4.5),65.0 (3.8),68.8 (2.6),69.8 (2.4),71.2 (2.3)
100,1.1,59.0 (4.4),64.8 (3.9),68.7 (2.6),70.0 (2.3),71.6 (2.4)
150,1.1,58.8 (4.4),64.4 (3.8),68.4 (2.5),69.7 (2.3),71.3 (2.3)
200,1.1,58.8 (4.4),64.3 (3.8),68.2 (2.5),69.5 (2.3),71.2 (2.4)
250,1.1,58.9 (4.4),64.3 (3.7),68.1 (2.5),69.4 (2.3),71.1 (2.3)
300,1.1,59.0 (4.4),64.3 (3.7),68.0 (2.5),69.4 (2.2),71.0 (2.3)
50,1.2, 59.7 (4.5),64.8 (3.8),68.5 (2.6),69.4 (2.5),70.8 (2.4)
100,1.2,59.3 (4.4),64.7 (3.9),68.5 (2.6),69.7 (2.4),71.2 (2.4)
150,1.2,59.1 (4.4),64.4 (3.9),68.3 (2.5),69.5 (2.3),71.1 (2.4)
200,1.2,59.1 (4.4),64.3 (3.8),68.1 (2.5),69.3 (2.3),70.9 (2.4)
250,1.2,59.1 (4.4),64.3 (3.7),68.1 (2.5),69.3 (2.3),70.9 (2.4)
300,1.2,59.2 (4.4),64.3 (3.7),68.0 (2.5),69.2 (2.3),70.8 (2.4)
50,1.3,59.6 (4.5),64.4 (3.8),68.0 (2.7),68.8 (2.5),70.2 (2.4)
100,1.3,59.3 (4.3),64.5 (3.8),68.1 (2.7),69.2 (2.4),70.7 (2.5)
150,1.3,59.2 (4.3),64.3 (3.8),68.0 (2.6),69.0 (2.3),70.5 (2.4)
200,1.3,59.2 (4.4),64.2 (3.8),67.8 (2.6),68.9 (2.3),70.4 (2.5)
250,1.3,59.2 (4.4),64.2 (3.7),67.8 (2.6),68.9 (2.3),70.4 (2.5)
300,1.3,59.3 (4.4),64.2 (3.7),67.8 (2.6),68.9 (2.3),70.3 (2.5)
50,1.4,59.5 (4.4),63.9 (3.7),67.3 (2.7),68.0 (2.4),69.4 (2.5)
100,1.4,59.3 (4.3),64.0 (3.8),67.5 (2.8),68.5 (2.4),69.9 (2.5)
150,1.4,59.1 (4.3),63.9 (3.8),67.4 (2.7),68.3 (2.3),69.8 (2.5)
200,1.4,59.1 (4.4),63.8 (3.8),67.3 (2.7),68.3 (2.3),69.7 (2.5)
250,1.4,59.1 (4.3),63.8 (3.7),67.3 (2.7),68.3 (2.3),69.7 (2.5)
300,1.4,59.2 (4.4),63.8 (3.7),67.3 (2.6),68.2 (2.3),69.6 (2.5)
50,1.5,59.1 (4.4),63.2 (3.7),66.4 (2.8),67.1 (2.4),68.3 (2.6)
100,1.5,59.0 (4.4),63.4 (3.7),66.7 (2.8),67.6 (2.3),68.9 (2.5)
150,1.5,58.9 (4.3),63.3 (3.7),66.6 (2.8),67.5 (2.3),68.8 (2.6)
200,1.5,58.8 (4.3),63.2 (3.7),66.6 (2.8),67.5 (2.3),68.8 (2.6)
250,1.5,58.8 (4.3),63.2 (3.7),66.5 (2.7),67.5 (2.3),68.7 (2.6)
300,1.5,58.9 (4.4),63.2 (3.7),66.5 (2.7),67.4 (2.3),68.7 (2.6)
50,1.6,58.6 (4.4),62.3 (3.7),65.3 (2.9),66.0 (2.4),67.2 (2.6)
100,1.6,58.6 (4.3),62.6 (3.7),65.7 (2.9),66.6 (2.3),67.8 (2.6)
150,1.6,58.5 (4.3),62.5 (3.7),65.7 (2.8),66.5 (2.3),67.7 (2.6)
200,1.6,58.4 (4.3),62.5 (3.7),65.6 (2.8),66.5 (2.3),67.7 (2.6)
250,1.6,58.4 (4.3),62.5 (3.7),65.6 (2.8),66.5 (2.3),67.7 (2.6)
300,1.6,58.4 (4.3),62.5 (3.7),65.6 (2.8),66.5 (2.3),67.7 (2.6)
50,1.7,57.9 (4.4),61.4 (3.8),64.2 (3.0),65.0 (2.4),66.0 (2.6)
100,1.7,57.9 (4.3),61.7 (3.8),64.5 (2.9),65.4 (2.3),66.6 (2.6)
150,1.7,57.9 (4.3),61.7 (3.8),64.5 (2.9),65.4 (2.3),66.6 (2.6)
200,1.7,57.8 (4.2),61.6 (3.8),64.5 (2.9),65.4 (2.3),66.5 (2.6)
250,1.7,57.8 (4.3),61.6 (3.8),64.5 (2.9),65.4 (2.3),66.5 (2.6)
300,1.7,57.8 (4.3),61.6 (3.7),64.5 (2.9),65.4 (2.2),66.5 (2.6)
50,1.8,57.0 (4.3),60.4 (3.8),62.9 (3.1),63.8 (2.3),64.9 (2.6)
100,1.8,57.1 (4.2),60.7 (3.9),63.3 (2.9),64.3 (2.3),65.4 (2.7)
150,1.8,57.0 (4.2),60.7 (3.8),63.3 (2.9),64.3 (2.3),65.4 (2.7)
200,1.8,57.0 (4.2),60.6 (3.8),63.3 (2.9),64.3 (2.3),65.3 (2.7)
250,1.8,57.0 (4.2),60.6 (3.8),63.3 (2.9),64.3 (2.3),65.3 (2.7)
300,1.8,57.0 (4.2),60.6 (3.8),63.2 (2.9),64.3 (2.2),65.3 (2.7)
50,1.9,55.9 (4.2),59.3 (3.9),61.5 (3.2),62.6 (2.3),63.6 (2.7)
100,1.9,56.0 (4.1),59.6 (3.9),61.9 (3.0),63.0 (2.3),64.1 (2.7)
150,1.9,56.0 (4.1),59.6 (3.9),61.9 (3.0),63.0 (2.3),64.1 (2.8)
200,1.9,56.0 (4.1),59.5 (3.9),61.9 (3.0),63.0 (2.3),64.0 (2.8)
250,1.9,55.9 (4.1),59.5 (3.9),61.9 (3.0),63.0 (2.3),64.0 (2.8)
300,1.9,55.9 (4.1),59.5 (3.9),61.9 (3.0),63.0 (2.3),64.0 (2.8)
50,2,54.7 (4.2),58.0 (4.0),60.0 (3.3),61.2 (2.4),62.1 (2.9)
100,2,54.8 (4.1),58.3 (4.0),60.4 (3.2),61.5 (2.4),62.6 (2.9)
150,2,54.8 (4.1),58.3 (4.0),60.4 (3.2),61.6 (2.4),62.6 (2.9)
200,2,54.8 (4.1),58.3 (4.0),60.4 (3.2),61.6 (2.4),62.6 (2.9)
250,2,54.8 (4.1),58.3 (3.9),60.3 (3.2),61.6 (2.4),62.6 (2.9)
300,2,54.8 (4.1),58.2 (4.0),60.3 (3.2),61.6 (2.4),62.5 (2.9)
50,2.1,53.4 (4.3),56.5 (4.1),58.4 (3.4),59.7 (2.5),60.5 (3.0)
100,2.1,53.5 (4.2),56.8 (4.0),58.7 (3.3),60.0 (2.5),60.9 (3.0)
